"Accession","Description","Sample.a.buffer16","Sample.b.buffer16","Sample.c.buffer16","Sample.d.buffer16","Control.a.buffer16","Control.b.buffer16","Control.c.buffer16","Control.d.buffer16","idirt_a","idirt_b","idirt_c","idirt_d","median_ratio","median_Sample","median_Control","bf"
"79","Q01546","Keratin, type II cytoskeletal 2 oral OS=Homo sapiens OX=9606 GN=KRT76 PE=1 SV=2",0,26226.28515625,42488.484375,67057.1328125,1473120,4950850.77929688,3378729.875,13338253.796875,0,0.00526941512390098,0.0124191091920721,0.0050022810484757,0.00513584808618834,34357.384765625,4164790.32714844,27.3579133154643
"80","P19013","Keratin, type II cytoskeletal 4 OS=Homo sapiens OX=9606 GN=KRT4 PE=1 SV=5",138421.453125,140485.384765625,168732.234375,333490.8515625,861515,1333147.12011719,1941678.703125,1724097.84375,0.138430249934789,0.0953327130747544,0.0799523123088439,0.162078481633498,0.116881481504772,154608.809570312,1528622.4819336,14.9405045777366
"81","P61978","Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1",269881.01953125,247488.377929688,716401.44140625,749589.638671875,261653.3671875,675829.65625,1309981.62402344,1640794.14257813,0.507739529698672,0.26804239575973,0.353537025465784,0.313585477173833,0.333561251319809,493141.23046875,992905.64013672,0.611035391604172
"82","P14618","Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4",17462.16796875,425424.09765625,1796369.18359375,1358604.74609375,2140452.09960938,1289413.6015625,2784773.37109375,2478901.60546875,0.00809215093996674,0.248084176041888,0.392122524490244,0.354033224085889,0.301058700063888,892014.421875,2309676.85253907,5.00549836956202
"83","Q00839","Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6",432078.13671875,712175.331054688,2667480.53515625,1785845.43359375,1338504.5,1688153.62695313,4947908.25390625,3924435.99804688,0.244031612960736,0.296699053968739,0.350275029816913,0.312742104740826,0.304720579354783,1249010.38232422,2806294.81250001,2.57922259229463
"84","P78406","mRNA export factor OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1",4394512,3180176.046875,0,6235362.46875,215181.41796875,202101.6484375,0,861896.125,0.953319798420874,0.940246878984067,NA,0.878559289672916,0.940246878984067,3787344.0234375,208641.533203125,16.219563001706
"85","Q9NZT1","Calmodulin-like protein 5 OS=Homo sapiens OX=9606 GN=CALML5 PE=1 SV=2",758806.140625,0,354003.84375,2203695.75,20956897.4453125,2511863.703125,24667564.953125,18335070.375,0.0349427379878395,0,0.0141479475816965,0.10729445656999,0.024545342784768,556404.9921875,19645983.9101562,23.3302281555632
"86","Q6KB66","Keratin, type II cytoskeletal 80 OS=Homo sapiens OX=9606 GN=KRT80 PE=1 SV=2",317146.84375,167021.599609375,598591.9375,1258297.0625,27053759.359375,16585513.921875,35486368.609375,29225736.6875,0.0115870056108625,0.0099699295903702,0.0165884049318114,0.0412772493568047,0.0140877052713369,457869.390625,28139748.0234375,25.6148268243149
"87","B4DY08","Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=1",0,104886.12109375,710631.75,656562.296875,233885.7734375,101040.65625,1470566.8125,1194449.421875,0,0.50933697135786,0.325798743047723,0.354704559795213,0.340251651421468,380724.208984375,714167.59765625,2.70614100688041
"88","P02545","Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1",1140852.125,182218.0859375,1162216.35546875,12941951.1640625,952568.1328125,698981.52734375,2073382.4140625,1776884.53125,0.544970423756252,0.206784119274621,0.359196686070295,0.879278186941384,0.452083554913274,1151534.24023438,1364726.33203125,-0.834534617858457
"89","A0A087X0X3","Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=1",520076.87109375,312096.7890625,1055817.6953125,1022389.4609375,253389.0859375,538199.5703125,1782485.36328125,1688157.5078125,0.672397881724402,0.367044719904367,0.371989063012746,0.377189354298106,0.374589208655426,771233.166015625,1113178.5390625,-0.723055290074896
"90","P52597","Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=HNRNPF PE=1 SV=3",95917.4453125,26097.763671875,125397.97265625,469313.328125,40688.69921875,347107.26953125,813187.4765625,918858.15625,0.702145907430672,0.0699287559116887,0.133603150102772,0.338080225251349,0.23584168767706,110657.708984375,580147.373046875,2.15457374198542
"91","O60232","Protein ZNRD2 OS=Homo sapiens OX=9606 GN=ZNRD2 PE=1 SV=1",3837484.75,2411766.25,5127769.5,6499528,0,0,0,0,1,1,1,1,1,4482627.125,0,32.0395805976749
"92","J3QTR3","Ubiquitin-40S ribosomal protein S27a (Fragment) OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=1",543080.4453125,817010.815429688,2280041.625,2978812.1328125,8671764.72070313,2726444.45410156,9598355.2265625,9085716.0078125,0.0589353847545244,0.230568965397937,0.191948598240349,0.246906642190333,0.211258781819143,1548526.22021484,8878740.36425782,9.551097803856
"93","P16403","Histone H1.2 OS=Homo sapiens OX=9606 GN=H1-2 PE=1 SV=2",0,320792.77734375,692346.5546875,524565.65625,498191.88671875,1096236.109375,2343796.046875,1429268.2734375,0,0.22638407752334,0.228034926400096,0.268480165217471,0.227209501961718,422679.216796875,1262752.19140625,9.64612332299489
"94","P25311","Zinc-alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=AZGP1 PE=1 SV=2",7563789,11305340,16815318.296875,15477727,5340334.2265625,918631.7890625,7550346.578125,6647375.921875,0.586152880532814,0.924849974712437,0.690123515329479,0.699555028270501,0.69483927179999,13391533.5,5993855.07421875,5.36741188324261
"95","Q08554","Desmocollin-1 OS=Homo sapiens OX=9606 GN=DSC1 PE=1 SV=2",1948859.2265625,731376.522460938,1326487.015625,3699519.5,7075610.0078125,3375023.5,10910697.65625,13688765.203125,0.215952780817195,0.178106496800238,0.108398054878889,0.212759312558019,0.195432904679129,1637673.12109375,8993153.83203125,9.80882102783012
"96","Q6ZXV5","Protein O-mannosyl-transferase TMTC3 OS=Homo sapiens OX=9606 GN=TMTC3 PE=1 SV=2",0,54682.1484375,59883.00390625,204110.6171875,286901.5859375,52507.66015625,153398.203125,190749.640625,0,0.510143167105985,0.28077018477055,0.516918613988299,0.395456675938268,57282.576171875,172073.921875,1.58823087696485
"97","P14625","Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1",0,179143.90234375,235445.4453125,591491.1484375,264999.619140625,237499.08984375,425844.265625,736870.6328125,0,0.429969795971345,0.356039783196857,0.445278655849991,0.393004789584101,207294.673828125,345421.942382812,2.28759897932994
"98","Q14126","Desmoglein-2 OS=Homo sapiens OX=9606 GN=DSG2 PE=1 SV=2",85473.3515625,65351.0537109375,193934.09375,375593.59765625,252570.34375,0,0,0,0.252847051276863,1,1,1,1,139703.72265625,0,11.425867960218
"99","Q6UWP8","Suprabasin OS=Homo sapiens OX=9606 GN=SBSN PE=1 SV=2",46230.05078125,48687.96484375,2980856.5,3109913.203125,1214011.81921387,305224.534179688,1724552.625,4932736.49023438,0.0366834747217445,0.137570628271384,0.633495711172618,0.38667768977838,0.262124159024882,1514772.23242188,1469282.22210693,2.64793553835868
"100","Q9Y5A9","YTH domain-containing family protein 2 OS=Homo sapiens OX=9606 GN=YTHDF2 PE=1 SV=2",0,56864.9375,110459.328125,95060.8125,702543.125,565745.625,1354510.078125,1113379,0,0.0913330754808709,0.0754004333836238,0.0786640853079309,0.0770322593457773,75962.875,907961.0625,20.8192637646082
"101","P20700","Lamin-B1 OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=2",0,154054.6640625,113202.126953125,32103.484375,35114.515625,198863.422851563,482742.9765625,251795.9921875,0,0.43651677195001,0.18995395093494,0.113080463422174,0.151517207178557,72652.8056640625,225329.707519531,9.30747402084063
"102","P40926","Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3",43500.91015625,66213.546875,259977.4375,399316.234375,573775.6875,434564.16796875,980718.59375,1758531.84375,0.0704723139050135,0.132221432608397,0.209541604834565,0.185052987938787,0.158637210273592,163095.4921875,777247.140625,12.206625859027
"103","P23396","40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2",68357.2734375,274109.609375,855214.9296875,1228023.8515625,431650.59765625,546492.109375,1002842.19921875,1931696.7109375,0.136712394722849,0.334034895506365,0.460273753902779,0.388649511015897,0.361342203261131,564662.26953125,774667.154296875,1.5005867514469
"104","Q06830","Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1",29516.865234375,592974.15234375,2351352.48828125,2345918.23046875,4197308.6328125,1902724.39648438,4371554.62109375,4241703.67578125,0.00698322304718142,0.237598468221326,0.349752339282261,0.356110029363261,0.293675403751794,1469446.19140625,4219506.15429688,5.75752659458864
"105","P04075","Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2",883523.75,914740.291015625,1454530.2265625,613315.6875,1347987.16015625,251504.8359375,1249492.5625,1099907.7109375,0.395930732840619,0.784346506471955,0.53791344971127,0.357989324719332,0.466922091275944,899132.020507812,1174700.13671875,-0.744469567913427
"106","P31151","Protein S100-A7 OS=Homo sapiens OX=9606 GN=S100A7 PE=1 SV=4",1380659.27734375,359183.890625,196664.13671875,1760353.4140625,39960789.21875,1145404.01953125,13180216.1132813,14932167.484375,0.0333964901465464,0.238725758860909,0.0147017939193071,0.10545761330916,0.0694270517278534,869921.583984375,14056191.7988282,16.9486372677648
"107","P04040","Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3",1394613.5234375,248399.453125,1531956.2890625,2184360.875,2846204.546875,1280902.078125,4837247.69921875,5233172.15625,0.328854834212384,0.162426734067262,0.240525549484859,0.294486167543482,0.26750585851417,1463284.90625,3841726.12304688,4.69205383844798
"108","Q9H8K7","ATPase PAAT OS=Homo sapiens OX=9606 GN=PAAT PE=1 SV=2",427034.2109375,0,92436.203125,991030.265625,1115261.625,995376.59375,1535546.00390625,3030464.75,0.276882165526903,0,0.0567796151123571,0.246433294527155,0.151606454819756,259735.20703125,1325403.81445312,12.5540932903933
"109","Q96S66","Chloride channel CLIC-like protein 1 OS=Homo sapiens OX=9606 GN=CLCC1 PE=1 SV=1",316745,546312.818359375,974337.3125,1293989.7421875,0,0,0,0,1,1,1,1,1,760325.065429688,0,32.0395805976749
"110","Q16777","Histone H2A type 2-C OS=Homo sapiens OX=9606 GN=H2AC20 PE=1 SV=4",766219.640625,1264155.5,1876894.1875,1282321.28125,3251389.7109375,3824803.8671875,5063163.890625,3610202.9296875,0.190715316890381,0.248411395883999,0.270443585107155,0.262098096189959,0.255254746036979,1273238.390625,3717503.3984375,5.46331879927333
"111","P13639","Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4",0,93062.36328125,434609.779296875,402351.330078125,6108700.7109375,7445044.58789063,11555830.0820313,12952534.4960938,0,0.0123455880745739,0.0362463582923749,0.0301276503082959,0.0212366191914349,247706.846679688,9500437.33496097,25.6359106807036
"112","P23246","Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2",77314.8828125,106120.1484375,171892.125,223571.8671875,174623.45703125,297336.833984375,602970.078125,661724.55078125,0.306880178937632,0.263027170332959,0.221835733252652,0.252538994453937,0.257783082393448,139006.13671875,450153.456054688,4.45367100319968
"113","Q5QNW6","Histone H2B type 2-F OS=Homo sapiens OX=9606 GN=H2BC18 PE=1 SV=3",704909.966796875,1197196.80273438,1672453.53125,1443766,3675116.04492188,4072428.12304688,6117108.89453125,4757402.625,0.160937392817049,0.227188238175583,0.214704426235118,0.232821599815793,0.22094633220535,1320481.40136719,4414915.37402344,7.61853348328956
"114","P31942","Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2",30519.740234375,441231.12890625,1888472.328125,4429249.95703125,480606.70703125,532937.41015625,2552946.421875,1756392.234375,0.0597107435892753,0.452930998296119,0.425195739114894,0.716053373275427,0.439063368705507,1164851.72851562,1144664.82226562,-0.390947138533629
"115","P22735","Protein-glutamine gamma-glutamyltransferase K OS=Homo sapiens OX=9606 GN=TGM1 PE=1 SV=4",179545.681640625,63673.30859375,214677.3671875,32485.224609375,2438936.08203125,1054579.86230469,4554345.53125,3506590.5078125,0.0685686202331421,0.0569399758934668,0.0450149583592555,0.0091790136932573,0.0509774671263612,121609.495117188,2972763.29492188,22.663526014138
"116","P01040","Cystatin-A OS=Homo sapiens OX=9606 GN=CSTA PE=1 SV=1",475678.40625,0,145619.234375,141161.859375,5820417.1953125,603629.986328125,6731153.2109375,5514149.546875,0.0755513315477533,0,0.0211755202797586,0.0249609348158961,0.0230682275478274,143390.546875,5667283.37109375,24.3488269265916
"117","E9PLD0","Ras-related protein Rab-1B OS=Homo sapiens OX=9606 GN=RAB1B PE=1 SV=1",6588.28564453125,8485.4326171875,469638.90234375,138817.98828125,15170.96484375,367611.030273438,730932.58984375,644105.984375,0.302780909116307,0.0225618516908392,0.391179455284287,0.177307111711343,0.240044010413825,73651.7104492188,505858.507324219,6.63346124873691
"118","A0A087WX29","TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1",452038.22265625,218585,372713.796875,656441.1015625,118125.11328125,307548.71875,484749.54296875,452035.625,0.792822326803913,0.415455220241955,0.434670241345732,0.59220106821565,0.513435654780691,412376.009765625,379792.171875,-0.351660871862404
"119","P62701","40S ribosomal protein S4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2",20707.701171875,128250.478515625,393844.453125,658873.05078125,330785.78515625,236210.16015625,524330.2578125,820747.77734375,0.0589134705971308,0.351891164387409,0.428942823662466,0.445298578025686,0.390416994024938,261047.465820312,427558.021484375,1.79228241887915
"120","P51991","Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2",296878.375,35720.5844726563,1081182.734375,721206.7578125,70920.005859375,141768.33984375,639950.3359375,758408.90625,0.807176949246846,0.201255287394597,0.628180791493765,0.487428441945743,0.557804616719754,509042.56640625,390859.337890625,-0.658518825177375
"121","Q13867","Bleomycin hydrolase OS=Homo sapiens OX=9606 GN=BLMH PE=1 SV=1",32267.220703125,50588.14453125,317415.0625,319484.8984375,2535170.2421875,680349.328125,2555759.52734375,3084106.171875,0.0125678701699694,0.0692099480786107,0.110475382742843,0.0938670045365252,0.0815384763075679,184001.603515625,2545464.88476562,19.713972106923
"122","F8VVM2","Phosphate carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A3 PE=1 SV=1",81845.25,257490.703125,365506.9140625,659006.58984375,311068.77734375,1084732.62890625,732172.11328125,550315.171875,0.208303201983664,0.191838941389379,0.332981595673721,0.544938998622779,0.270642398828693,311498.80859375,641243.642578125,1.85605110615871
"123","P62277","40S ribosomal protein S13 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2",2058709.1875,1176860.046875,3267184.09375,4080353.140625,1541866.03125,1041074.234375,2195573.921875,3085640.53125,0.571772303708382,0.53061087374137,0.598083254723154,0.569405071712457,0.57058868771042,2662946.640625,1868719.9765625,-0.222341495150104
"124","Q01650","Large neutral amino acids transporter small subunit 1 OS=Homo sapiens OX=9606 GN=SLC7A5 PE=1 SV=2",175714.087890625,242655.287109375,498897.49609375,804781.52734375,0,30644.794921875,0,24132.67578125,1,0.887871256041661,1,0.9708864009203,0.98544320046015,370776.391601562,12066.337890625,27.4568001907081
"125","Q96EP5","DAZ-associated protein 1 OS=Homo sapiens OX=9606 GN=DAZAP1 PE=1 SV=1",0,42662.97265625,243706.71875,97990.28125,68656.34375,126509.15625,222830.6875,200738.328125,0,0.252186769369631,0.522373373464092,0.328024428108895,0.290105598739263,70326.626953125,163623.7421875,3.69008869102072
"126","P62249","40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=2",1217295.69140625,327720.09375,1862953.6796875,2460385.68359375,1072610.15039063,497935.6171875,1715625.73828125,2268922.3515625,0.531592028452595,0.396921004007695,0.520584696355555,0.520242214147183,0.520413455251369,1540124.68554688,1394117.94433594,-0.843865741435675
"127","P26599","Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1",200110.162109375,265059.390625,425494.427734375,1149463.4453125,157642.828125,88276.65625,178661.712890625,391858.0625,0.559352870756654,0.750162325551716,0.704278909247203,0.745764877403067,0.725021893325135,345276.909179688,168152.270507812,3.52034637458877
"128","P32119","Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5",0,50499.4140625,410170.732421875,355641.109375,2027090.640625,814422.26953125,2092113.015625,2362204,0,0.0583861117375101,0.163918553498191,0.130854075586664,0.0946200936620868,203070.26171875,2059601.828125,17.9485472815785
"129","P20930","Filaggrin OS=Homo sapiens OX=9606 GN=FLG PE=1 SV=3",70294.5439453125,44738.94921875,127817.3515625,77847.994140625,1405668.45507813,622192.197265625,2532438.6484375,2518119.125,0.0476262236870587,0.0670818111503481,0.0480470118524307,0.0299880509142951,0.0478366177697447,74071.2690429688,1961893.79003906,22.2933074091799
"130","P00338","L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2",0,116499.90234375,190003.2421875,237905.4765625,815253.984375,603693.77734375,837472.01171875,1440546.046875,0,0.16176190603936,0.184922450896162,0.141741047173805,0.151751476606582,153251.572265625,826362.998046875,14.6349080469719
"131","P16401","Histone H1.5 OS=Homo sapiens OX=9606 GN=H1-5 PE=1 SV=3",59123.4296875,152481.0078125,309830.1875,101463.984375,31892.892578125,186320.9375,488734.7109375,357488.75,0.649591504202425,0.450059422391617,0.38798372944544,0.221077197662137,0.419021575918528,126972.49609375,271904.84375,-0.551289178724073
"132","P05109","Protein S100-A8 OS=Homo sapiens OX=9606 GN=S100A8 PE=1 SV=1",3756839.96484375,2573624.10742188,4196396.10351563,7248698.0703125,62817576.171875,2987725.875,19787237.7382813,15100543.4375,0.0564306858828265,0.462769672032241,0.174969153181552,0.324337542631083,0.249653347906318,3976618.03417969,17443890.5878906,4.781143414887
"133","Q15365","Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2",0,31617.130859375,278087.5078125,158129.671875,394853.96875,500729.46875,309582.7265625,591682.6875,0,0.0593920030344422,0.473203323132832,0.210892325123592,0.135142164079017,94873.4013671875,447791.71875,9.2216608782059
"134","A0A1B0GVD5","Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1",286077.109375,59568.81640625,173124.59375,148871.97265625,5604329.21875,839828.78515625,4686974.8828125,4897975.625,0.0485666172143446,0.0662319048914103,0.0356216152745189,0.0294980123286041,0.0420941162444317,160998.283203125,4792475.25390625,22.6584027212322
"135","A0A5F9ZHM4","L-lactate dehydrogenase OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=1",0,65392.7978515625,144228.25390625,395435.94140625,0,8703.6484375,242747.171875,383141.1875,NA,0.882536223079503,0.372706493222594,0.507895655709487,0.507895655709487,104810.525878906,125725.41015625,-0.0804034417453092
"136","P30101","Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4",997238.2265625,1650927.52929688,3101730.4921875,4628895.984375,708913.40234375,470549.82421875,901608.16796875,1011167.109375,0.584495662441088,0.778197102392362,0.774785936313077,0.820717057137974,0.77649151935272,2376329.01074219,805260.78515625,6.23647251766901
"137","P81605","Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2",76050.6015625,197789.015625,577526.125,314124.40625,33783296.34375,3660303.98046875,19070728.9453125,17542444,0.00224607408067652,0.051266005206525,0.0293932526289631,0.0175915326564119,0.0234923926426875,255956.7109375,18306586.4726562,24.9804032613504
"138","A0A0A0MR02","Outer mitochondrial membrane protein porin 2 (Fragment) OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=1",441914.40625,623083.9375,588292.125,1140776.421875,771570.65625,757345.8125,1040240.078125,1638514.8125,0.364169630023773,0.451369537276345,0.361240707350535,0.410455877299068,0.38731275366142,605688.03125,905905.3671875,-0.137924692694019
"139","D6RBZ0","Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=1",290402.5078125,38411.41796875,463019.125,726775.5,98467.9609375,46143.890625,949588.50390625,1010469.3984375,0.746784678059974,0.454275652322428,0.327776174731907,0.418349480061027,0.436312566191728,376710.81640625,524028.232421875,-0.848597207464567
"140","P47929","Galectin-7 OS=Homo sapiens OX=9606 GN=LGALS7 PE=1 SV=2",94209.896484375,9238.4765625,23204.697265625,0,4824697.4375,840802.810546875,2838821.984375,1275358.25,0.0191526064810137,0.0108682680507391,0.00810778509315754,0,0.00948802657194834,16221.5869140625,2057090.1171875,26.8783925927863
"141","P50995","Annexin A11 OS=Homo sapiens OX=9606 GN=ANXA11 PE=1 SV=1",0,38147.05078125,124984.12109375,94638.4140625,80726.78125,169306.9765625,424536.6328125,454386.6171875,0,0.183881948543908,0.227442039641459,0.172375408543816,0.178128678543862,66392.732421875,296921.8046875,12.4895323015417
"142","P01857","Immunoglobulin heavy constant gamma 1 OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=1",103023.8828125,387187.09765625,273776.85546875,0,2121345.2421875,984025.2890625,3012981.3125,5556505.5078125,0.0463160010874994,0.282368436433667,0.0832969270866517,0,0.0648064640870755,188400.369140625,2567163.27734375,16.4502856727967
"143","E7EQB2","Lactotransferrin (Fragment) OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=1",0,45405.73828125,113477.890625,512144.75,827846.19921875,195913.884765625,2436247.7890625,1898433.125,0,0.188156013621943,0.0445059213738272,0.212457251562553,0.116330967497885,79441.814453125,1363139.66210938,15.6527620797662
"144","P62269","40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3",765666.24609375,1146225.40234375,1622564.3125,2717651.828125,994375.00390625,1495504.49609375,2007475.109375,2167442.1875,0.435027443870279,0.433891974732809,0.446982559672013,0.556315153696649,0.441005001771146,1384394.85742188,1751489.80273438,-0.824220344104099
"145","O43278","Kunitz-type protease inhibitor 1 OS=Homo sapiens OX=9606 GN=SPINT1 PE=1 SV=2",286426.1328125,457130.9375,821833.4375,1400255.15625,2559806.5,2185911.75,2169503.40234375,4262371.46875,0.100633423111824,0.172956320252395,0.274737845151176,0.24728014912161,0.210118234687002,639482.1875,2372859.125,8.3126445606813
"146","P49411","Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2",10016.9384765625,33766.66796875,116610.84375,187021.4921875,74185.375,138868.647460938,516042.298828125,697432.6171875,0.118962746544377,0.195595367522022,0.18432034222544,0.211454150311607,0.189957854873731,75188.755859375,327455.473144531,9.90430615594047
"147","P49768","Presenilin-1 OS=Homo sapiens OX=9606 GN=PSEN1 PE=1 SV=1",0,23569.859375,32392.966796875,92572.55859375,0,0,0,0,NA,1,1,1,1,27981.4130859375,0,23.2681593894469
"148","P68871","Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2",450139.8671875,38764.49609375,511009.234375,499226.9375,1977286.5390625,1664910.640625,2538098.984375,2332626.625,0.185439140823592,0.0227534553144972,0.167593013338336,0.176289813891109,0.171941413614723,474683.40234375,2154956.58203125,13.1886832229002
"149","P69905","Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2",300894.28125,410997.03125,973672.65625,876636.59375,1870888.4140625,1064207.5234375,1952635.140625,1722777.2421875,0.138547140052013,0.27860341804399,0.332730773328009,0.337243951551806,0.305667095685999,643816.8125,1796832.828125,3.89994549791489
"150","P13667","Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2",0,93908.484375,70747.9296875,155023.34375,240901.259765625,0,499261.94140625,483951.5859375,0,1,0.124117025467905,0.242612560442421,0.183364792955163,82328.20703125,362426.422851562,1.09143441013713
"151","Q96PK6","RNA-binding protein 14 OS=Homo sapiens OX=9606 GN=RBM14 PE=1 SV=2",82078.8125,43614.50390625,97060.1484375,183313.75390625,109993.6015625,328632.890625,288232.765625,259319.7578125,0.427332643787627,0.117165370522395,0.25191262256579,0.414143414479489,0.33302801852264,89569.48046875,273776.26171875,2.50200084384232
"152","P04843","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=RPN1 PE=1 SV=1",0,31735.880859375,52101.21484375,174045.3203125,21709.11328125,189615.431640625,271569.9375,0,0,0.143373357496468,0.160969596661542,1,0.152171477079005,41918.5478515625,105662.272460938,1.57729479870763
"153","Q8WVV4","Protein POF1B OS=Homo sapiens OX=9606 GN=POF1B PE=1 SV=3",117608.2734375,53446.2421875,9479.1142578125,112348.13671875,1241561.4609375,172283.400390625,781356.0234375,816210.169921875,0.086529496988528,0.236771039802636,0.011986207751766,0.120992010857355,0.103760753922942,82897.189453125,798783.096679688,15.3896341755396
"154","O75223","Gamma-glutamylcyclotransferase OS=Homo sapiens OX=9606 GN=GGCT PE=1 SV=1",569978.3828125,237550.6484375,496652.8203125,801329.6875,2292605.16992188,937983.6015625,3378061.140625,2027699.84375,0.199113273835465,0.202078883229051,0.128177931408473,0.283252500070558,0.200596078532258,533315.6015625,2160152.50683594,8.01419337762753
"155","Q6ZVX7","F-box only protein 50 OS=Homo sapiens OX=9606 GN=NCCRP1 PE=1 SV=1",96826.0625,159811.078125,353337.375,482925.0625,1111458.71875,569005.3203125,1877766.4375,2004887.921875,0.0801351337056742,0.219274811142583,0.15836886343898,0.194116304373788,0.176242583906384,256574.2265625,1494612.578125,11.0648470176472
"156","H0Y8G5","Heterogeneous nuclear ribonucleoprotein D0 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=8",78467.0625,48978.58203125,888190.3125,895114.59375,156288.73046875,282776.234375,1247615.171875,709355.578125,0.334249738878415,0.147634878558246,0.415857304889312,0.557887961671459,0.375053521883864,483328.6875,496065.90625,0.52985416793407
"157","E7EMC7","Sequestosome-1 OS=Homo sapiens OX=9606 GN=SQSTM1 PE=1 SV=1",19681.1171875,5621.52734375,25517.419921875,36484.578125,0,0,0,0,1,1,1,1,1,22599.2685546875,0,32.0395805976749
"158","P29692","Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5",32348.22265625,0,527531.1875,1082515.640625,83608.359375,0,462064.671875,426888.8125,0.278968404290601,NA,0.533077399730809,0.717180632655357,0.533077399730809,279939.705078125,255248.5859375,-0.722177217162438
"159","P23528","Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3",0,549391.734375,1073886.671875,401955.796875,157548.703125,798132.5625,1310603.75,997666.4375,0,0.407704510893849,0.450363172786649,0.287188776373285,0.347446643633567,475673.765625,897899.5,3.19391062397317
"160","O43175","D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4",0,33309.94921875,172626.265625,196020.46875,38019.50390625,81229.43359375,42876.08984375,108968.796875,0,0.290816559342546,0.801041200916398,0.642712681537511,0.466764620440029,102968.107421875,62052.76171875,-0.617539765832038
